rep	sampleSize	alpha	mu
94	1000	0.382956	0.004336
95	1000	0.367785	0.004336
96	1000	0.402445	0.002187
97	1000	0.502093	0.002411
98	1000	0.466330	0.003566
99	1000	0.145843	0.001216
1	3000	0.339090	0.001216
2	3000	0.508941	0.001000
3	3000	0.336719	0.001000
4	3000	0.458439	0.001000
5	3000	0.289656	0.001000
6	3000	0.503351	0.001000
7	3000	0.311333	0.001000
8	3000	0.486403	0.001000
9	3000	0.326463	0.001341
10	3000	0.528590	0.001000
11	3000	0.792715	0.001000
12	3000	0.412729	0.003566
13	3000	0.297717	0.007071
14	3000	0.441723	0.001000
15	3000	0.358602	0.001000
16	3000	0.465717	0.001000
17	3000	0.257518	0.005273
18	3000	0.260347	0.001000
19	3000	0.292695	0.001000
20	3000	0.316647	0.001000
21	3000	0.308188	0.001000
22	3000	0.341452	0.001000
23	3000	0.356314	0.001000
24	3000	0.367800	0.001000
25	3000	0.496397	0.001000
26	3000	0.323207	0.001798
27	3000	0.515541	0.001000
28	3000	0.257167	0.001000
29	3000	0.302811	0.001479
30	3000	0.460318	0.001000
31	3000	0.363054	0.001983
32	3000	0.427728	0.001000
33	3000	0.224325	0.004336
34	3000	0.518683	0.001000
35	3000	0.304224	0.001341
36	3000	0.732235	0.001000
37	3000	0.371996	0.001000
38	3000	0.318719	0.001216
39	3000	0.392047	0.001000
40	3000	0.353101	0.001000
41	3000	0.473830	0.001000
42	3000	0.515753	0.001000
43	3000	0.212226	0.001000
44	3000	0.382942	0.001000
45	3000	0.347564	0.012715
46	3000	0.435497	0.001479
47	3000	0.301422	0.001000
48	3000	0.375164	0.001000
49	3000	0.290833	0.001000
50	3000	0.388149	0.001000
51	3000	0.521934	0.001000
52	3000	0.481975	0.001000
53	3000	0.274435	0.001000
54	3000	0.375943	0.001103
55	3000	0.302535	0.003932
56	3000	0.498585	0.001000
57	3000	0.419879	0.001000
58	3000	0.236467	0.003234
59	3000	0.274526	0.001000
60	3000	0.321516	0.001000
61	3000	0.521301	0.001000
62	3000	0.287025	0.001000
63	3000	0.649097	0.001000
64	3000	0.384098	0.001000
65	3000	0.444291	0.001000
66	3000	0.277382	0.001000
67	3000	0.345252	0.001000
68	3000	0.450087	0.001000
69	3000	0.254275	0.001341
70	3000	0.290478	0.001000
71	3000	0.331837	0.001479
72	3000	0.282792	0.001000
73	3000	0.368449	0.001000
74	3000	0.359638	0.001103
75	3000	0.529098	0.001000
76	3000	0.338441	0.001000
77	3000	0.342059	0.001000
78	3000	0.228468	0.001103
79	3000	0.351200	0.001000
80	3000	0.318608	0.001000
81	3000	0.428758	0.001103
82	3000	0.292078	0.001000
83	3000	0.359933	0.001000
84	3000	0.550754	0.001000
85	3000	0.290256	0.002411
86	3000	0.255108	0.001000
87	3000	0.437175	0.001000
88	3000	0.373317	0.001000
89	3000	0.324099	0.001000
90	3000	0.352479	0.001631
91	3000	0.462508	0.001103
92	3000	0.401871	0.001000
93	3000	0.386778	0.001000
94	3000	0.292737	0.001798
95	3000	0.281769	0.001983
96	3000	0.337282	0.001000
97	3000	0.418385	0.001000
98	3000	0.412116	0.001216
99	3000	0.221832	0.001000
