rep	sampleSize	alpha	mu
93	1000	0.400000	0.002480
94	1000	0.400000	0.004163
95	1000	0.400000	0.004163
96	1000	0.400000	0.002236
97	1000	0.400000	0.002236
98	1000	0.400000	0.003753
99	1000	0.400000	0.000976
100	1000	0.400000	0.000282
1	3000	0.400000	0.001083
2	3000	0.400000	0.000312
3	3000	0.400000	0.000645
4	3000	0.400000	0.000524
5	3000	0.400000	0.000645
6	3000	0.400000	0.000186
7	3000	0.400000	0.000524
8	3000	0.400000	0.000473
9	3000	0.400000	0.001332
10	3000	0.400000	0.000206
11	3000	0.400000	0.000100
12	3000	0.400000	0.003384
13	3000	0.400000	0.007750
14	3000	0.400000	0.000473
15	3000	0.400000	0.000794
16	3000	0.400000	0.000582
17	3000	0.400000	0.005680
18	3000	0.400000	0.000282
19	3000	0.400000	0.000186
20	3000	0.400000	0.000976
21	3000	0.400000	0.000524
22	3000	0.400000	0.000794
23	3000	0.400000	0.000880
24	3000	0.400000	0.000312
25	3000	0.400000	0.000645
26	3000	0.400000	0.001639
27	3000	0.400000	0.000473
28	3000	0.400000	0.000473
29	3000	0.400000	0.001478
30	3000	0.400000	0.000716
31	3000	0.400000	0.001818
32	3000	0.400000	0.000976
33	3000	0.400000	0.004163
34	3000	0.400000	0.000206
35	3000	0.400000	0.001332
36	3000	0.400000	0.000186
37	3000	0.400000	0.000426
38	3000	0.400000	0.001201
39	3000	0.400000	0.000716
40	3000	0.400000	0.000794
41	3000	0.400000	0.000282
42	3000	0.400000	0.000880
43	3000	0.400000	0.000206
44	3000	0.400000	0.000384
45	3000	0.400000	0.011728
46	3000	0.400000	0.001639
47	3000	0.400000	0.000582
48	3000	0.400000	0.000473
49	3000	0.400000	0.000347
50	3000	0.400000	0.000716
51	3000	0.400000	0.000347
52	3000	0.400000	0.000151
53	3000	0.400000	0.000473
54	3000	0.400000	0.001201
55	3000	0.400000	0.003753
56	3000	0.400000	0.000645
57	3000	0.400000	0.001083
58	3000	0.400000	0.003384
59	3000	0.400000	0.000880
60	3000	0.400000	0.000794
61	3000	0.400000	0.000186
62	3000	0.400000	0.000426
63	3000	0.400000	0.000794
64	3000	0.400000	0.000426
65	3000	0.400000	0.000473
66	3000	0.400000	0.000582
67	3000	0.400000	0.000582
68	3000	0.400000	0.000473
69	3000	0.400000	0.001332
70	3000	0.400000	0.000645
71	3000	0.400000	0.001639
72	3000	0.400000	0.000524
73	3000	0.400000	0.000524
74	3000	0.400000	0.001083
75	3000	0.400000	0.000254
76	3000	0.400000	0.000473
77	3000	0.400000	0.000794
78	3000	0.400000	0.001201
79	3000	0.400000	0.000473
80	3000	0.400000	0.000582
81	3000	0.400000	0.001083
82	3000	0.400000	0.000582
83	3000	0.400000	0.000716
84	3000	0.400000	0.000347
85	3000	0.400000	0.002751
86	3000	0.400000	0.000524
87	3000	0.400000	0.000645
88	3000	0.400000	0.000794
89	3000	0.400000	0.000312
90	3000	0.400000	0.001639
91	3000	0.400000	0.001083
92	3000	0.400000	0.000384
93	3000	0.400000	0.000976
94	3000	0.400000	0.001818
95	3000	0.400000	0.002016
96	3000	0.400000	0.000976
97	3000	0.400000	0.000880
98	3000	0.400000	0.001201
99	3000	0.400000	0.000384
100	3000	0.400000	0.000229
