model	sampleSize	binLeft	binRight	count	expected	chiSq	chiP	ksD	ksP	pitL1	nScored	nZeroed
kreg	3000	0.300000	0.350000	15468	15000.000000	464.462667	0.00000	0.017460	4.24794e-12	0.033493	300000	0
kreg	3000	0.350000	0.400000	15267	15000.000000	464.462667	0.00000	0.017460	4.24794e-12	0.033493	300000	0
kreg	3000	0.400000	0.450000	15229	15000.000000	464.462667	0.00000	0.017460	4.24794e-12	0.033493	300000	0
kreg	3000	0.450000	0.500000	15136	15000.000000	464.462667	0.00000	0.017460	4.24794e-12	0.033493	300000	0
kreg	3000	0.500000	0.550000	15146	15000.000000	464.462667	0.00000	0.017460	4.24794e-12	0.033493	300000	0
kreg	3000	0.550000	0.600000	15122	15000.000000	464.462667	0.00000	0.017460	4.24794e-12	0.033493	300000	0
kreg	3000	0.600000	0.650000	14962	15000.000000	464.462667	0.00000	0.017460	4.24794e-12	0.033493	300000	0
kreg	3000	0.650000	0.700000	14659	15000.000000	464.462667	0.00000	0.017460	4.24794e-12	0.033493	300000	0
kreg	3000	0.700000	0.750000	14640	15000.000000	464.462667	0.00000	0.017460	4.24794e-12	0.033493	300000	0
kreg	3000	0.750000	0.800000	14374	15000.000000	464.462667	0.00000	0.017460	4.24794e-12	0.033493	300000	0
kreg	3000	0.800000	0.850000	14276	15000.000000	464.462667	0.00000	0.017460	4.24794e-12	0.033493	300000	0
kreg	3000	0.850000	0.900000	14289	15000.000000	464.462667	0.00000	0.017460	4.24794e-12	0.033493	300000	0
kreg	3000	0.900000	0.950000	13626	15000.000000	464.462667	0.00000	0.017460	4.24794e-12	0.033493	300000	0
kreg	3000	0.950000	1.000000	14150	15000.000000	464.462667	0.00000	0.017460	4.24794e-12	0.033493	300000	0
ccd1	300	0.000000	0.050000	1068	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.050000	0.100000	1133	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.100000	0.150000	1100	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.150000	0.200000	1073	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.200000	0.250000	1057	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.250000	0.300000	1069	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
ccd1	300	0.300000	0.350000	1078	1071.550000	27.659885	0.0901964	0.009607	0.0380357	0.027297	21431	8569
